"project","simplified_platform","days_in_game","predict_month","optimal_cutoff"
"1","DA","android",0,"2018-10-01",0.120023131035529
"2","DA","android",1,"2018-10-01",0.141975230188269
"3","DA","android",2,"2018-10-01",0.163489037098265
"4","DA","android",3,"2018-10-01",0.17672336154672
"5","DA","android",4,"2018-10-01",0.18851766085023
"6","DA","android",5,"2018-10-01",0.201671965777093
"7","DA","android",6,"2018-10-01",0.205407464904903
"8","DA","android",7,"2018-10-01",0.209183750697771
"9","DA","ios",0,"2018-10-01",0.120023131035529
"10","DA","ios",1,"2018-10-01",0.141975230188269
"11","DA","ios",2,"2018-10-01",0.163489037098265
"12","DA","ios",3,"2018-10-01",0.17672336154672
"13","DA","ios",4,"2018-10-01",0.18851766085023
"14","DA","ios",5,"2018-10-01",0.201671965777093
"15","DA","ios",6,"2018-10-01",0.205407464904903
"16","DA","ios",7,"2018-10-01",0.209183750697771
"17","DA","canvas",0,"2018-10-01",0.120023131035529
"18","DA","canvas",1,"2018-10-01",0.141975230188269
"19","DA","canvas",2,"2018-10-01",0.163489037098265
"20","DA","canvas",3,"2018-10-01",0.17672336154672
"21","DA","canvas",4,"2018-10-01",0.18851766085023
"22","DA","canvas",5,"2018-10-01",0.201671965777093
"23","DA","canvas",6,"2018-10-01",0.205407464904903
"24","DA","canvas",7,"2018-10-01",0.209183750697771
"25","SY","android",0,"2018-10-01",0.156098049013006
"26","SY","android",1,"2018-10-01",0.14572661414389
"27","SY","android",2,"2018-10-01",0.166115923642215
"28","SY","android",3,"2018-10-01",0.135837230984251
"29","SY","android",4,"2018-10-01",0.154243407886448
"30","SY","android",5,"2018-10-01",0.154500283851114
"31","SY","android",6,"2018-10-01",0.160113865125834
"32","SY","android",7,"2018-10-01",0.163668782300413
"33","SY","ios",0,"2018-10-01",0.156098049013006
"34","SY","ios",1,"2018-10-01",0.14572661414389
"35","SY","ios",2,"2018-10-01",0.166115923642215
"36","SY","ios",3,"2018-10-01",0.135837230984251
"37","SY","ios",4,"2018-10-01",0.154243407886448
"38","SY","ios",5,"2018-10-01",0.154500283851114
"39","SY","ios",6,"2018-10-01",0.160113865125834
"40","SY","ios",7,"2018-10-01",0.163668782300413
"41","SY","canvas",0,"2018-10-01",0.156098049013006
"42","SY","canvas",1,"2018-10-01",0.14572661414389
"43","SY","canvas",2,"2018-10-01",0.166115923642215
"44","SY","canvas",3,"2018-10-01",0.135837230984251
"45","SY","canvas",4,"2018-10-01",0.154243407886448
"46","SY","canvas",5,"2018-10-01",0.154500283851114
"47","SY","canvas",6,"2018-10-01",0.160113865125834
"48","SY","canvas",7,"2018-10-01",0.163668782300413
"49","TSM","android",0,"2018-10-01",0.17904798999618
"50","TSM","android",1,"2018-10-01",0.193522861299196
"51","TSM","android",2,"2018-10-01",0.19002970915204
"52","TSM","android",3,"2018-10-01",0.192273707734661
"53","TSM","android",4,"2018-10-01",0.201700921326641
"54","TSM","android",5,"2018-10-01",0.217886993425278
"55","TSM","android",6,"2018-10-01",0.225255544452526
"56","TSM","android",7,"2018-10-01",0.2286604935381
"57","TSM","ios",0,"2018-10-01",0.17904798999618
"58","TSM","ios",1,"2018-10-01",0.193522861299196
"59","TSM","ios",2,"2018-10-01",0.19002970915204
"60","TSM","ios",3,"2018-10-01",0.192273707734661
"61","TSM","ios",4,"2018-10-01",0.201700921326641
"62","TSM","ios",5,"2018-10-01",0.217886993425278
"63","TSM","ios",6,"2018-10-01",0.225255544452526
"64","TSM","ios",7,"2018-10-01",0.2286604935381
"65","TSM","canvas",0,"2018-10-01",0.17904798999618
"66","TSM","canvas",1,"2018-10-01",0.193522861299196
"67","TSM","canvas",2,"2018-10-01",0.19002970915204
"68","TSM","canvas",3,"2018-10-01",0.192273707734661
"69","TSM","canvas",4,"2018-10-01",0.201700921326641
"70","TSM","canvas",5,"2018-10-01",0.217886993425278
"71","TSM","canvas",6,"2018-10-01",0.225255544452526
"72","TSM","canvas",7,"2018-10-01",0.2286604935381
